"english","darija","includes_arabizi"
"Nothing can be seen other than the clear, beautiful sky above and the many surrounding mountains. Very little of this world can be seen or heard from inside the cave.
","حتى حاجة مكاتبان من غير السما الزوينة والصافة والجبال اللي دايرين. شي حاجة قليلة من هاد العالم هي اللي كاتشاف أولا كاتسمع من داخل الكهف.",false
"Now widely available throughout the archipelago, Javanese cuisine features an array of simply seasoned dishes, the predominant flavorings the Javanese favor being peanuts, chillies, sugar (especially Javanese coconut sugar) and various aromatic spices.
","المطبخ الجاوي متوفر على نطاق واسع فأنحاء الأرخبيل، وكايتميز بمجموعة من الأطباق ساهلة التحضير، والنكهات اللي سايدة وتيفضلها الجاويون هي كاوكاو والفلفل الحارة والسكر (خاصة سكر جوز الهند الجاوي) والعطرية المختلفة.",false
"Ocelots like to eat small animals. They will catch monkeys, snakes, rodents and birds if they can. Almost all of the animals that the ocelot hunts are far smaller than it is.
","حيوان الأصلوت تياكل الحيوانات الصغيرة. تيشد لقرودة ولحنوشة والقوارض والطيور إلى لقا كيفاش. الحيوانات اللي تيصيدها حيوان الأصلوت تقريبا كلها أصغر منو.",false
"Of course, the superprofits derived from the protracted exploitation of the Filipino people would constitute the basic gains of U.S. imperialism.
","بطبيعة الحال أن الأرباح الكبيرة اللي نتجات على الاستغلال ديال الشعب الفليبيني هي المكاسب الأساسية نتاع الإمبريالية الأمريكية.",false
"Officials for the city of Amsterdam and the Anne Frank Museum state that the tree is infected with a fungus and poses a public health hazard as they argue that it was in imminent danger of falling over.
","المسؤولين ديال مدينة أمستردام ومتحف آن فرانك تيقولو أن الشدرة كانت متأثر بالفطريات وكتشكل خطر على الصحة العامة وقالو أنه كان خطر ديال أنها قريبة تطيح.",false
"Oliver Sacks, in his paper The President's Speech, indicated how people who are unable to understand speech because of brain damage are nevertheless able to assess sincerity accurately.
","قال أوليفير ساكس فالورقة البحثية ديالو، تحت عنوان خطاب الرئيس، أن الناس اللي مقادرينش يفهمو الخطاب بسباب خلل فالدماغ قادرين واخا هكاك على تقييم الإخلاص بدقة.",false
"On 15 August 1940, the Allies invaded southern France, the invasion was called Operation Dragoon.
","ف 15 غشت 1940، دخلو الحلفاء لجنوب فرنسا، الغزو تسمى عملية دراغون.",false
"On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.
","علنات السكريترة الدائمة فلجنة نوبل للأدب فالأكاديمية السويدية سارة دانيوس نهار الإثنين فواحد البرنامج فراديو Sveriges فالسويد أن اللجنة اللي مقدراتش توصل لبوب ديلان براسو باش تخبرو بالفوز بجائزة نوبل في الأدب لعام 2016 وقفت محاولة للوصول إليه.",false
"On icy and snowy roadways, friction is low and you cannot drive as if you were on bare asphalt.
","الطريق اللي تيكون فيها الجليد والثلج تتكون الاحتاكاكات قليلة ومتقدرش تسوق بحال إلا راك على الطريق اللي فيها غير الزفت.",false
"On some routes, the larger companies have their own planes, but for other routes and smaller firms there was a problem.
","فشي طرق جوية تيكون عند الشركات الكبيرة طائرات ديالهم، ولكن بالنسبة للطرق لوخرا والشركات الصغيرة تيكون مشكل.",false
"On the other hand, icy and snowy conditions are normal in many countries, and traffic goes on mostly uninterrupted all year round.
","ومن جهة أخرى كتكون ظروف الجليد والثلج عادية فبزاف دالدول والطريق غالبا مكتقطعش على طول السنة.",false
"On the outlying islands credit cards will probably not be accepted, although British and United States currency may be taken; check with the owners in advance to determine what is an acceptable payment method.
","ممكن متبقاش إمكانية استخدام البطاقة النبكية فالجزر اللي بعيدة، واخا ممكن تدي العملات البريطانية والأمريكي؛ سول مالين السلعة من قبل باش تعرف طريقة لخلاص الممكنة.",false
"Once the ancient city of Smyrna, it is now a modern, developed, and busy commercial center, set around a huge bay and surrounded by mountains.
","كانت مدينة سميرنا قديمة ولات دابا مدينة متحضرة ومتقدمة ومركز تجاري نشيط دايرة على خليج كبير ودايرين عليها الجبال.",false
"One antibody cocktail, ZMapp, initially showed promise in the field, but formal studies indicated it had less benefit than sought in preventing death.
","بين المضاد الحيوي، ZMapp، أنه فعال فهاد المجال، ولكن الدراسات الرسمية كتقول أنه معندوش نفس التوقعات اللي كانت فأنه يعتق من الموت.",false
"One bomb exploded outside the governor general's office.
","تفكعات واحد القنبلة برا دلمكتب دالحاكم العام.",false
"One can only wonder what the keyboard will become when something newer comes along.
","تقدر تفكر شنو ممكن يولي لكلافيي فاش تبان شي حاجة جديدة.",false
"One of the main Christian tenets is that wealth should be used to alleviate suffering and poverty and that the monetary funds of the church are there specifically for that reason.
","من بين المعتقدات نتاع الكنيسة أن الثروة خاص تستخدم فالنقص من المعاناة والفقر وأن الدعم المادي للكنيسة تدار لهاد الغاية.",false
"One of the most common methods used to illustrate the importance of socialization is to draw upon the few unfortunate cases of children who were, through neglect, misfortune, or wilful abuse, not socialized by adults while they were growing up.
","من بين الطرق اللي كتبين أهمية التنشئة الاجتماعية ممكن نشوفو الحالات نتاع الأطفال الي عاناو من الخلي أوالفقر أو الإساءة المتعمدة واللي متمش الإدماج ديالهم داخل المجتمع من طرف الراشدين فاش كانو تيكبرو.",false
"One of the most noteworthy recent examples of this was the North Atlantic campaign of WWII. The Americans were trying to move men and materials across the Atlantic Ocean to help Britain.
","من بين الأمثلة الباينة على هادشي هو حملة الشمال الأطلسي فالحرب العالمية الثانية. حاولو الأمريكيين أنهم ينقلو العسكر والعتاد ديالهم عبر المحيط الأطلسي باش يعاونو بريطانيا.",false
"One was sent to George Washington on July 6, who had it read to his troops in New York on July 9. A copy reached London on August 10.
","واحد تصيفط لجورج واشنطن ف 6 يوليوز وتقرا على الجنود ديالو ف 9 يوليوز. نسخة منو وصلات لندن ف 10 غشت.",false
"Only mutations in germ-line cells can be passed on to children, while mutations elsewhere can cause cell-death or cancer.
","الطفرة اللي كتوقع فالخلايا من سلالة جرثومية هي اللي تقدر تنتاقل للأطفال، الطفرات فبلاصة أخرى ممكن تسبب موت الخلية أو السرطان.",false
"Other biorhythm-based options involve drinking lots of fluid (particularly water or tea, a known diuretic) prior to sleep, forcing one to get up to urinate.
","من بين الاختيارات البيولوجية الأخرى اللي ممكنة كاين شرب بزاف دالسوائل (خاصة الما أولا أتاي، أو أي سائل تيدير البول) قبل من النعاس، باش غتفيق الشخص يتبول.",false
"Other subjects on the agenda in Bali include saving the world's remaining forests, and sharing technologies to help developing nations grow in less-polluting ways.
","من بين المواضيع اللي مسطرة فبالي كاين الحفاظ على داكشي لي باقي دالغابات فالعالم، ومشاركة التكنولوجيا اللي غاتعاون الدول النامية باش تطور بشكل أقل تلوثي.",false
"Other topics covered reportedly include the future state of Jerusalem which is sacred to both nations and the Jordan Valley issue.
","من بين الموايع اللي تم التطرق ليهاهي مستقبل القدس اللي كاتعتبر مدينة مقدسة للشعبين ونقاش واد الأردن.",false
"Others are alleged to have been brought up by animals; some are said to have lived in the wild on their own.
","وكيتقال أنه وحدين أخرين رباوهوم الحياوانات؛ و وحدين كبرو لراسهم فالبيرية.",false
"Others include Livingston Island, and Deception where the flooded caldera of a still-active volcano provides a spectacular natural harbour.
","لوخرين كيتضمنو جزيرة ليفينستون و ديسيبشن اللي فيها واحد الكالديرا نتاع واحد لبركان مازال نشيط واللي كتعطي واحد المنظر طبيعي غزال.",false
"Ottawa is Canada's charming, bilingual capital and features an array of art galleries and museums that showcase Canada's past and present.
","أوتاوا هي العاصمة الساحرة ديال كندا، فيها جوج لغات وفيها بزاف دلمعارض الفنية والمتاحف اللي كتعرض الماضي والحاضر ديال كندا.",false
"Our foster care system is supposed to provide safe homes, loving caregivers, stable education, and reliable health care.
","نظام الكفالة ديالنا خاص يوفر ديور آمنين ومقدمي رعاية حنونين وتعليم مستقر وتغطية صحية معتمدة.",false
"Out of 1,400 people polled prior to the 2010 federal election, those who oppose Australia becoming a republic grew by 8 per cent since 2008.
","من بين 1,400 دلأشخاص اللي تم استطلاعهم قبل الانتخابات الفدرالية نتاع 2010، كبر عدد المعارضين لأن أستراليا تولي جمهورية بنسبة 8 فالمية على سنة 2008.",false
"Out on the savanna, it is hard for a primate with a digestive system like that of humans to satisfy its amino-acid requirements from available plant resources.
","فغابات السافانا تيكون صعيب على قرد عندو نفس الجهاز الهضمي ديال الإنسان أنه يلبي الحاجيات ديالو من الأحماض الأمينية بأكل الأعشاب اللي كاينة تما.",false
"Over four million people went to Rome to attend the funeral.
","مشاو مليون من الناس ديالنا باش يحضرو الدفن.",false
"Over time, as the new population begins to adapt to their new environment, they start to look less and less like the other population.
","مع الوقت وفاش كيبداو السكان جداد يتأقلمو مع المحيط الجديد ديالهم تيبداو يبانو بحالهم بحال السكان لوخرين.",false
"Parisians have a reputation for being egocentric, rude and arrogant.
","الباريسيين عندهم واحد السمعة ديال الغرور والعجرفة والتكبر.",false
"Parisians' abrupt exteriors will rapidly evaporate if you display some basic courtesies.
","الظاهر نتاع الباريسيين تيتبخر بمجرد أنك تبين شوية دالمجاملة.",false
"People have known about basic chemical elements such as gold, silver, and copper from antiquity, as these can all be discovered in nature in native form and are relatively simple to mine with primitive tools.
","الناس تعرفو على المواد الكيميائية الأساسية بحال الذهب والفضة والنحاس من شحال هادي لاحقاش ساهل باش تتجبد من الطبيعة فالشكل الأولي ديالها بوسائل بسيطة.",false
"People may not anticipate that patience and understanding are also necessary for travellers returning home.
","يقدر أن الناس ميفهموش أن هاد الصب والتفهم حتا هما ضروريين للمسافرين اللي راجعين لبلادهم.",false
"People now write messages on computer screens, never having to come close to a sharpener.
","الناس اللي تيكتبو الميساجات فشاشات الحاسوب معمرهوم يحتاجو لشي منجرة.",false
"People would bring sacrifices to the gods and the priests would try to attend to the needs of the gods through ceremonies and festivals.
","يقدرو الناس يجيبو القرابين للآلهة والكهنة يلبيو حاجات الآلهة فالحفلات والأعياد.",false
"Periodic rhythms, which are not simply responses to external periodic cues, have been documented for most living beings, including bacteria, fungi, plants, and animals.
","ترصدات الإيقاعات الدورية، واللي هي ماشي استجابات بسيطة للإشارات الدورية، عند معظم الكائنات الحية بما فيها البكتيريات و الفطريات والنباتات والحيوانات.",false
"Perry stated that he would return to Texas to assess the results of tonight's caucus, determine whether there is a path forward for myself in this race, but later said that he would remain in the race and compete in the January 21 South Carolina primary.
","قال بيري أنه باغي يرجع لتيكساس باش يدير تقييم لنتائج تجمع دهاد الليلة، ويحدد واش عندو شي طريق مزال فهاد السباق، ولكن قال من بعد أنه غادي يبقا فالسباق ويتنافس على المركز الأول فجنوب كارولينا ف 21 فيناير.",false
"Persian has a relatively easy and mostly regular grammar.
","كاتميز اللغة الفارسية بقواعد لغوية ساهلة نسبيا وغالبا منتظمة.",false
"Pests can spoil food, cause irritation, or in a worse case cause allergic reactions, spread venom, or transmit infections.
","الآفات تقدر تفسد الطعام وتسبب التهيج أو فأسوء الحالات تقدر تسبب أمراض الحساسية أو تنشر السم أو تنقل العدوى.",false
"Plans for vaccines to be delivered to the historically most affected areas this year were delayed due to lack of funds and low prioritisation relative to other diseases.
","مخططات التلقيح اللي غاتعطا للمناطق الأكثر تأثرا تاريخيا هاد السنة تأجلات بسبب نقص التمويل وضعف الأولوية مقارنة مع أمراض أخرى.",false
"Plants look their best when in a natural environment, so resist the temptation to remove even just one specimen.
","النباتات تتكون زوينة فاش تتكون فمحيط طبيعي إذا تجنبو أنكم تحولو ولو غير نموذج واحد.",false
"Plants make oxygen which humans breathe, and they take in carbon-dioxide which humans exhale (that is, breathe out).
","النباتات كتعكي الأوكسيجين اللي تيدخلوه البشر للرية ديالهم وكتاخد تنائي أوكسيد الكربون اللي تيخرجوه (تيتنفسوه على برى).",false
"Plants make their food from the sun by photosynthesis. They also provide shade.
","الباتات كتتغذى من الشمس باستعمال الفوطوسانتاز. وتيعطيو حتى الظل.",false
"Please remember that you are essentially visiting a mass grave site, as well as a site that has an almost incalculable meaning to a significant portion of the world's population.
","كون على بال أنك غاتزور واحد المقبرة جماعية، وبلاصة اللي اللي عندها معنى كبير عند بزاف دالناس فالعالم.",false
"Please treat the site with all of the dignity, solemnity and respect it deserves. Do not make jokes about the Holocaust or Nazis.
","تعاملو مع لبلاصة بكل كرامة ووقار واحترام اللي كاتستاهل. متضحكوش على الهلوكوست أولا النازية.",false
"Poland's men's visually impaired skier Maciej Krezel and guide Anna Ogarzynska finished thirteenth in the Super-G. South Korea's Jong Seork Park finished twenty-fourth in the men's sitting Super-G.
","المتزلج الضعيف البصر البولندي ماسيج كريزيل والمرشدة آنا أوغارزينسكا جابو المركز 13 فمسابقة السوبر-جي. وجاب الكوري الجنوبي يونغ سيورك بارك المركز 24 فمسابقة سوبر-جي للرجال للجالسين.",false
"Police said that the body appeared to have been there for about a day.
","قالو لبوليس أن الجثة كانت تما تقريبا نهار كامل.",false
"Police said they suspect an alleged Daesh (ISIL) militant of responsibility for the attack.
","قالو البوليس أنهم شاكين فشي مجند ديال داعش هو اللي من مورا هاد الهجوم.",false
"Police superintendent Chandra Shekhar Solanki said the accused appeared in court with covered faces.
","قال مفوض الشرطة فشاندرا شيخار سولكاني أن المتهمين دازو فالمحكمة بوجوههم مغطيين.",false
"Popular sports include football, basketball, volleyball, water-polo, fencing, rugby, cycling, ice hockey, roller hockey and F1 motor racing.
","من بين الرياضات المشهورة كاينة كرة القدم ولباسكيط والفوليبال وكرة دلما والمبارزة بالسيف والريكبي وركوب الدراجات والآيس هوكي والهوكي وسباق السياراتF1.",false
"Posted speed limits are noticeably lower than in previous and subsequent sections — commonly 35-40 mph (56-64 km/h) — and strict obedience to them is even more important than otherwise.
","حدود السرعة اللي تحطات قليلة بزاف مقارنة مع داكشي لي كان قبل ومن بعد - عادةً 35-40 ميل فالساعة (56-64 كم/ساعة) - واحترامها بشكل قطعي مهم بزاف.",false
"Potro received treatment to his shoulder at this point but managed to return to the game.
","تلقا بوترو العلاج فكتفو فهاد اللحظة ولكن قدر أنه يرجع للماتش.",false
"Pre-modern observatories are usually obsolete today, and remain as museums, or sites of education.
","عادة ماتتكون مراصد ماقبل الحداثة قديمة اليوم، وكتبقى غير متاحف أولا بلايص دلقراية.",false
"Pre-operative transgender people should not expect to pass through the scanners with their privacy and dignity intact.
","خاس المتحولين جنسيا ميتوقعوش أن السكانير اللي كيتدار قبل العملية ميقيسش الخصوصية والكرامة ديالهم.",false
"Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.
","لاحظ الرئيس التنفيذي ديال شركة رينغ أنها بدات فاش مكانش سرسار ديال الدلر ديالو مكانش كيتسمع فالكرلج دالمحل ديالو.",false
"Prides are made up of one to three related adult males, along with as many as thirty females and cubs.
","الزمرة دالأسد كتكون من ثلاثة د الدكورة عندهم رابط العائلة وتقريبا شي تلاتين نتوة وشبل.",false
"Prime Minister Stephen Harper has agreed to send the government's 'Clean Air Act' to an all-party committee for review, before its second reading, after Tuesday's 25 minute meeting with NDP leader Jack Layton at the PMO.
","وافق رئيس الوزراء ستيفن هاربر أنه يسيفط 'قانون الهواء النظيف' لمجلس الأحزاب باش يراجعوه، قبل من القراءة الثانية، من بعد الاجتماع د التلات د 25 دقيقة مع قائد الحزب الوطني الديمقراطي NDP جاك لايتون فمقر رئيس الوزراء.",false
"Prior to the arrival of troops, Haiti had not encountered problems related to the disease since the 1800s.
","من قبل ميجيو العسكر ماعمر هايتي عانات من مشاكل متعلقة بالمرض من سنوات 1800.",false
"Professor Pamela Ferguson of the University of Dundee notes journalists do seem to be walking a dangerous line if publishing photos etc of suspects.
","قالت الروفيسورة باميلا فورغسون أن الصحفيين تيكونو معرضين للخطر فاش كينشرو تصاور أولا شي حاجة نتاع مشتبه بيهم.",false
"Pronunciation is relatively easy in Italian since most words are pronounced exactly how they are written
","تيكون النطق نسبيا ساهل فالإيطالية لاحقاش الكلمات كتنطق كيفما كتكتب تماما.",false
"Rare fauna such as the European brown bear, wolf, eagle, owl, lynx, wild cat and capercaillie can be found there, along with many more common species
","تتكون الحيوانات النادرة بحال الدب الأوروبي والذيب والنسر وموكة وحيوان الأشق والمش (قط) الخلوي وفروج الخلنج بالإضافة لشي أنواع شائعة.",false
"Re-entry shock comes on sooner than culture shock (there's less of a honeymoon phase), lasts longer, and can be more severe.
","صدمة الرجوع كتجي فمدة قل من الصدمة الثقافية (مدة مرحلة شهر العسل قصيرة)، وكتطول وتقدر تكون قاسحة كتر.",false
"Regional and seasonal severe weather phenomena include blizzards, snowstorms, ice storms, and dust storms.
","من بين الأجواء القاسح الإقليمية والموسمية كنلقاو العواصف الثلجية والعاواصف الجليدية والعواصف الرملية.",false
"Regular announcements in the Metro are made only in Catalan, but unplanned disruptions are announced by an automated system in a wide variety of languages including Spanish, English, French, Arabic and Japanese.
","الإعلانات الاعتيادية فالميترو كتكون بالكطلانية بوحدها، ولكن التةقفات اللي ممعولينش عليها كتكون باللغات المبرمجة بما فيها الإسبانية والإنجليزية والفرنسية والعربية واليابانية.",false
"Reindeer husbandry is an important livelihood among the Sámi and the culture surrounding the trade is important also for many with other professions.
","تربية الغزلان ضرورية للعيش عند الشعب السامي، والثقافة نتاع البيع والشرا ديالهم مهمة لبزاف دالحرفات أخرين.",false
"Remains of sewage systems have been found in the houses of the Minoan cities of Crete and Santorini in Greece.
","تلقاو بقايا أنظمة الصرف الصحي فالديور نتاع مدن مينوان الكريتي والسانتورينية فاليونان.",false
"Remember that even though music on the main stages may have finished, there may be sections of the festival that will keep playing music until late into the night.
","خاصك تعرف أنه واخا توقف الموسيقى فالمسرح الرئيسي تقدر شي مواد نتاع لاحتفال تبقى كتلعب الموسيقى حتال شي وقت معطل بالليل.",false
"Research has found that females are two times more likely to have MS then males.
","لقات الأبحاث أن لعيالات معرضين لخطر التصلب المتعدد جوج دلمرات كتر من الرجال.",false
"Research in AI involves making machines to automate tasks that require intelligent behavior.
","من بين الأبحاث فمجال الذكاء الاصطناعي محاولة صنع ماكينات كتدير لخدمات اللي كيحتاجو سلوك ذكي.",false
"Researchers from Princeton University in the United States and Uppsala University in Sweden reported the new species evolved in just two generations, though this process had been believed to take much longer, due to breeding between an endemic Darwin finch, Geospiza fortes, and the immigrant cactus finch, Geospiza conirostris.
","قالو الباحثين فجامعة برسنستون فالولايات المتحدة الأمريكية وجامعة أوبسالا فالسويد أن الأنواع الجديدة تطورات غير فجوج دلأجيال واخا هاد المسيرة كتاخد مدة كتر بسبب التكاثر بين عصفور داروين المستوطن، حصون ال Geospiza، وعصفور الصبار المهاجر، كونيروستريس ال Geospiza.",false
"Resembling a television remote, the controller uses two sensors placed near the user's television to triangulate its position in three-dimensional space.
","بحال تيليكوموند دالتلفزة، كيستخدم جهاز التحكم جوج دلمستشعرات كاينين حدا التلفزة باش ترد بلاصتها مثلثة فداك الفضاء الثلاثي الأبعاد.",false
"Resting on the top of one of the mountains north of Mecca, the cave is completely isolated from the rest of the world.
","الغار اللي فراس واحد من الجبال دشمال مكة معزول تماما على العالم.",false
"Ring also settled a lawsuit with competing security company, the ADT Corporation.
","شركة رينغ سوات الدعوة القضائية مع شركة أمن منافسة سميتها ADT.",false
"Rip currents are the returning flow from waves breaking off the beach, often at a reef or similar.
","التيارات هي التدفق اللي تيرجع من الموجات وتيدخل لبلاية (الشاطئ)، غالبا فالشعاب المرجانية أو بحال هكاك.",false
"Robin Uthappa made the innings highest score, 70 runs in just 41 balls by hitting 11 fours and 2 sixes.
","سجل رولين أوثابا أعلى نتيجة فالشوط ب 70 جرية غير ف 41 كرة وضرب 11 دربعاوات و 2 دستوات.",false
"Rolando Mendoza fired his M16 rifle at the tourists.
","ضرب رولاندو ميندوزا السياح بالبندقية M16 ديالو.",false
"Romanticism had a large element of cultural determinism, drawn from writers such as Goethe, Fichte, and Schlegel.
","كانت فالتيار الرومانسي بزاف دلعناصر من الحتمية الثقافية اللي جابعا من كتاب بحال غوته و فيشت و شليغل.",false
"Sadly, as newer methods of writing have emerged, the pencil has been relegated to lesser status and uses.
","للأسف ومع أن طرق جديدة للكتابة بانت نقصات القيمة ولستعمال دقلم الرصاص.",false
"Safaris are perhaps the greatest tourism draw in Africa and the highlight for many visitors.
","السفاري هي اللي كتجبد السياحة فأفريقيا بشكل كبير وهي لاش كيمشيو بزاف دالسياح.",false
"Saint Petersburg cruises include time in town. Cruise passengers are exempted from visa requirements (check the terms).
","كيدخل وقت المدينة فالرحلات البحرية د سانت بيترسبورغ. الركاب دالرحلة البحرية معفيين من متطلبات الفيزا (رجع للشروط).",false
"Saltwater Crocodiles do not actively live in the ocean, their primary habitat is in river estuaries north from Rockhampton.
","التماسيح نتاع الما المالح متيعيشوش فالمحيط، البلاصة اللي تيعيشو فيها هي فالويدان اللي فالشمال نتاع روكهامبتون.",false
"Same goes for the military because instead of army rankings being based on class they were now based on cailaber.
","ونفس الشي عند العسكر اللي مبقاوش تيترتبو بلكراد ولكن ولاو تيترتبو بالعيار.",false
"Scaffolding is not a method of learning but rather an aid that provides support to individuals whom are undergoing a new learning experience such as using a new computer program or beginning a new project.
","تقنية السقالات ماشي طريقة دالتعلم ولكن تيعطي مساعدة للأفراد اللي داخلين على تجربة تعلم جديدة بحال لاستخدام نتاع بيسي جديد أولا باديين مشروع جديد.",false
"Scaffolds can be both virtual and real, in other words, a teacher is a form of scaffold but so is the little paperclip man in Microsoft Office.
","تقنية السقالات تقدر تكون فيغتيوال أو حضورية، وبطريقة أخرى تيكون الأستاذ أولا ليباج اللي ف ميكروسوفت أوفيس بحال شي سقالة.",false
"Schneider testified via videolink from a USAF base in his homeland.
","قدم شنايدر الشهادة ديالو بواحد الرابط دلفيديو من واحد لاباز (قاعدة) تابعة للقوات الجوية الأمريكية فبلادو.",false
"Science now indicates that this massive carbon economy has dislodged the biosphere from one of its stable states that has supported human evolution for the past two million years.
","العلم تيقول دابا أن الاقتصاد الكبير للكربون حيدات للغلاف الجوي وحدة من الحالات المستقرة اللي عاونات تطزر الإنسان فجوج دلمليون سنة اللي دازت.",false
"Science’s main goal is to figure out the way the world works through the scientific method. This method in fact guides most scientific research.
","الهدف الرئيسي نتاع العلم هو يعرف الطريقة اللي تيخدم بيها العالم باستعمال الطريقة العلمية. ةهاد الطريقة هي اللي كتوجه البحث العلمي.",false
"Scientists hope to understand how planets form, especially how the Earth formed, since comets collided with the Earth long ago.
","من الوقت اللي ولات المذنبات كتصطادم مع الأرض والعلماء باغيين يفهمو كيفاش الكواكب تيتشكلو وخصوصا كيفاش تشكلات الأرض.",false
"Scientists say the explosion caused by the collision was massive.
","تيقولو العلماء أن الانفجار اللي وقع بسبب الاصطدام كان ضخم.",false
"Scientists think that ocelots follow and find animals to eat (prey) by smell, sniffing for where they've been on the ground.
","تيعتاقدو العلماء أن حيوان الأصلوت كيتبع ويلقا الحيوانات اللي غياكل (الفريسة) بالريحة وكيشم فين كانو فالأرض.",false
"Scotturb Bus 403 travels regularly to Sintra, stopping at Cabo da Roca.
","الطوبيس نتاع سكوتورب 403 ديما تيمشي لسينترا وكيوقف ف كابو دا روكا.",false
"Searches at security checkpoints have also become far more intrusive in the post-September 11, 2001 era.
","التقلاب فنقاط التفتيش ولات كاتتدخل بزاف فالمرحلة اللي من بعد هجومات د 11 سبتمبر 2001.",false
"Segregation and recombination shuffle variation back and forth between the two pools with each generation.
","التمييز وإعادة الإدماج تيبدل التنوع مابين المجموعات بجوج فكل جيل.",false
"Several Bishkek residents blamed protesters from the south for the lawlessness.
","لعديد من السكان ديال بيشكيك لامو المتظاهرين من الجنوب على عدم القانونية ديالهم.",false
"Several hostages have been rescued and least six have been confirmed dead so far.
","تعتقو شوية دالرهائن وستة على الأقل ماتو لحد الساعة.",false
"Several large television screens were installed in various places in Rome to let the people watch the ceremony.
","بزاف دالشاشات لكبيرة تدارت فبلايص مختلفة فروما باش الناس يتفرجو فالاحتفال.",false
"Several million vials of encephalitis vaccine have also been promised by the government, which will help prepare health agencies for next year.
","الحكومة واعدات بلملايين دلقراعي داللقاح ضد التهاب الدماغ والحكومة هي اللي غادي توجد واكالات صحية للسنة اللي جاية.",false
"Several people verified the discovery using different hardware and software by the beginning of February and it was announced on Tuesday.
","بزاف دالناس تأكدو من الاكتشاف بأجهزة وبرامج مختلفة فالبدية د فبراير وتعلن يوم الثلاثاء.",false
"Severe weather can occur anywhere in the world, and there are different types of it, which can depend on geography, topography, and atmospheric conditions.
","الجو القاسح ممكن يوقع فأي بلاصة فالعالم وكاين أنواع مختالفة منو واللي كيتبدلو حسب الظروف الجغرافية والتضاريس والمناخ.",false
"Severe weather is the generic term for any dangerous weather phenomenon with the potential to cause damage, serious social disruption, or loss of human life.
","الجو القاسح هو المصطلح اللي ممكن يتستعمل باش نوصفو أي ظاهرة جوية ممكن تسبب الدمار أولا اضطرابات اجتماعية خطيرة أولا فقدان الأرواح البشرية.",false
"Shared taxis are a quick and comfortable means to travel to nearby places, such as Paro (Nu 150) and Punakha (Nu 200).
","الطاكسي لمشروك هو وسيلة سريعة ومريحة باش تسافر لبلايص لقريبة، بحال بارو (NU 150) وبوناخا (NU 200).",false
"Sharing a field trip virtually is also a great way to reflect a on a trip and share experiences with future classes.
","مشاركة المجال ديال شي تسافيرة فيغتوالمون هو طريقة واعرة باش الواحد يفكر فالتسافيرة ويشارك التجارب ديالو مع الأقسام اللي جايين.",false
"Sharks do exist, however they rarely attack humans. Most sharks are scared of humans and would swim away.
","تيخرجو القروش ولكن قليل فين تيهاجمو البشر. أغلب القروش تيخافو من البشر وتيعومو بعيد.",false
"She came to this conclusion due to the multitude of positive comments and encouragement sent to her by both female and male individuals urging that contraception medication be considered a medical necessity.
","وصلات لهاد الخلاصة من بعد ماوصلاتها بزاف دالتعاليق الإيجابية والتشجيع من الرجال والنسا اللي تيقولو أن موانح الحمل كاتعتبر ضرورة طبية.",false
"She directed officers to her black Oldsmobile Intrigue which was 500 feet away.
","دات الضباط لمخبأ أولدزموبيل لكحل اللي بعيد ب 500 قدم.",false
"She is in custody pending indictment and trial, but any eyewitness evidence may be tainted because her image has been widely published.
","هي رهن الاعتقال وكاتسنا التهم والمحاكمة ولكن ممكن يكون شي واحد من أدلة د الشهود تشوهات لاحقاش التصويرة ديالها تنشرات على نطاق واسع.",false
"Shooters in the supplementary pest control trial were to be closely supervised by rangers, as the trial was monitored and its effectiveness evaluated.
","كان خاص لعساسة دلغابة يتابعو الرماة اللي كانو التجربة التكميلية لمكافحة الآفات اللي تمت مراقبتها وتقييم فعاليتها.",false
"Similarly, by having a Schengen visa, you do not need to apply for visas to each of the Schengen member countries separately, hence saving time, money and paperwork.
","إلا خديتي فيزا شينغن من قبل مغاديش تحتاج كل مرة تاخدها فاش تبغي تمشي للدول الأعضاء ففيزا شينغن، وهكاك غادي توفر الوقت ولفوس والجرا نتاع لوراق.",false
"Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.
","قال سيمينوف أن المبيعات طلعات مورا فاش بان فواحد الحلقة ديال شارك تانك فاش مبغاتش لجنة البرنامج أنها تمول الشركة اللي طالعة.",false
"Since 1966 the Sundarbans have been a wildlife sanctuary, and it is estimated that there are now 400 Royal Bengal tigers and about 30,000 spotted deer in the area.
","تحولات صانداربانز لمحمية طبيعية من 1966 وفيها تقريبا 400 نمر من نوع رويال بينغال وتقريبا 30,000 غزالة.",false
"Since 1988, ballot boxes must be transparent so that voters and observers can witness that no envelopes are present at the start of the vote and that no envelopes are added except those of the duly counted and authorized voters.
","من سنة 1988 ولاو صناديق الاقتراع شفافين باش الناخبين والمراقبين يقدرو يشوفو أنه مكاينش شي بريات فالصندوق فالبدية نتاع التصويت وماتزادوش من بعد من غير دوك اللي حطوهوم الناس اللي صوتو أو عندهم الحق.",false
